business_id,score,date,type,new_date,year
852,83,20171129,routine,2017-11-29,2017
852,74,20160830,routine,2016-08-30,2016
852,72,20150324,routine,2015-03-24,2015
854,82,20160614,routine,2016-06-14,2016
856,92,20171018,routine,2017-10-18,2017
856,93,20151014,routine,2015-10-14,2015
856,94,20160707,routine,2016-07-07,2016
874,85,20170908,routine,2017-09-08,2017
874,96,20160406,routine,2016-04-06,2016
874,94,20161012,routine,2016-10-12,2016
876,83,20170511,routine,2017-05-11,2017
876,83,20160518,routine,2016-05-18,2016
880,84,20161011,routine,2016-10-11,2016
880,61,20160426,routine,2016-04-26,2016
880,88,20171130,routine,2017-11-30,2017
884,83,20161005,routine,2016-10-05,2016
884,92,20171206,routine,2017-12-06,2017
884,86,20160309,routine,2016-03-09,2016
884,77,20151210,routine,2015-12-10,2015
886,94,20151120,routine,2015-11-20,2015
886,96,20161228,routine,2016-12-28,2016
891,92,20161024,routine,2016-10-24,2016
891,96,20171228,routine,2017-12-28,2017
891,76,20160503,routine,2016-05-03,2016
891,82,20150407,routine,2015-04-07,2015
892,87,20170815,routine,2017-08-15,2017
892,77,20160519,routine,2016-05-19,2016
902,94,20170630,routine,2017-06-30,2017
902,96,20150825,routine,2015-08-25,2015
903,90,20160630,routine,2016-06-30,2016
903,91,20171211,routine,2017-12-11,2017
903,86,20150225,routine,2015-02-25,2015
905,98,20160921,routine,2016-09-21,2016
905,94,20150903,routine,2015-09-03,2015
905,96,20171212,routine,2017-12-12,2017
911,92,20150916,routine,2015-09-16,2015
911,96,20170112,routine,2017-01-12,2017
917,96,20160902,routine,2016-09-02,2016
917,96,20150814,routine,2015-08-14,2015
919,96,20170410,routine,2017-04-10,2017
919,94,20150209,routine,2015-02-09,2015
919,92,20160330,routine,2016-03-30,2016
920,92,20170410,routine,2017-04-10,2017
920,100,20160330,routine,2016-03-30,2016
920,100,20150209,routine,2015-02-09,2015
929,98,20160622,routine,2016-06-22,2016
935,92,20171023,routine,2017-10-23,2017
935,100,20160919,routine,2016-09-19,2016
935,89,20150217,routine,2015-02-17,2015
935,85,20150928,routine,2015-09-28,2015
941,92,20160804,routine,2016-08-04,2016
941,91,20150226,routine,2015-02-26,2015
943,85,20150720,routine,2015-07-20,2015
943,87,20161104,routine,2016-11-04,2016
949,96,20150708,routine,2015-07-08,2015
949,100,20160209,routine,2016-02-09,2016
949,94,20170425,routine,2017-04-25,2017
950,92,20160531,routine,2016-05-31,2016
950,85,20161214,routine,2016-12-14,2016
950,96,20170911,routine,2017-09-11,2017
951,88,20160426,routine,2016-04-26,2016
951,92,20150828,routine,2015-08-28,2015
952,89,20160427,routine,2016-04-27,2016
952,88,20161031,routine,2016-10-31,2016
952,88,20170913,routine,2017-09-13,2017
961,92,20151030,routine,2015-10-30,2015
961,96,20171103,routine,2017-11-03,2017
961,94,20160912,routine,2016-09-12,2016
966,87,20160609,routine,2016-06-09,2016
972,83,20160510,routine,2016-05-10,2016
972,83,20161109,routine,2016-11-09,2016
972,90,20171114,routine,2017-11-14,2017
984,87,20160613,routine,2016-06-13,2016
985,67,20170810,routine,2017-08-10,2017
985,79,20160614,routine,2016-06-14,2016
994,100,20160219,routine,2016-02-19,2016
994,96,20171010,routine,2017-10-10,2017
994,88,20160810,routine,2016-08-10,2016
999,92,20150519,routine,2015-05-19,2015
999,81,20160503,routine,2016-05-03,2016
999,77,20170714,routine,2017-07-14,2017
999,80,20180123,routine,2018-01-23,2018
1000,74,20171002,routine,2017-10-02,2017
1000,81,20160919,routine,2016-09-19,2016
1000,77,20150325,routine,2015-03-25,2015
1002,90,20160929,routine,2016-09-29,2016
