business_id,name,address,city,state,postal_code,latitude,longitude,phone_number,postal_code_5
64745,MINT,1 DR CARLTON B. GOODLETT PL BASEMENT,San Francisco,CA,94102,37.778492,-122.418291,+14157992722,94102
64787,CHOTTO,3317 STEINER ST ,San Francisco,CA,94123,37.799944,-122.43778400000001,+14153102220,94123
64790,LOCALI MEDITERRANEAN,98 BATTERY ST #B,San Francisco,CA,94111,37.792027000000004,-122.39968600000002,+14153999991,94111
64805,ANDERSEN BREAD,1390 MARKET ST SUITE 110,San Francisco,CA,94102,37.777053,-122.41693899999999,+14154297100,94102
64814,MY IVY CORP.,1901 DIVISADERO ST ,San Francisco,CA,94115,37.787323,-122.44032299999999,+14155679443,94115
64835,JANE,2123 FILLMORE ST ,San Francisco,CA,94115,37.789404,-122.433954,+14152032457,94115
64843,PALMYRA,700 HAIGHT ST ,San Francisco,CA,94117,37.771698,-122.433903,+14155711384,94117
64846,TARAVAL PIZZA,1115 TARAVAL ST,San Francisco,CA,94116,37.742892,-122.478002,+14156614000,94116
64859,MODERA LIQUOR & WINE,4401 GEARY BLVD ,San Francisco,CA,94118,37.780834000000006,-122.46659,+14153872837,94118
64881,NEW ALTERNATIVES,1600 GUERRERO ST,San Francisco,CA,94110,37.745437,-122.42234499999999,+14153087056,94110
64884,TOPE,1326 GRANT AVE ,San Francisco,CA,94133,37.799058,-122.40721699999999,+14152039040,94133
64932,WASABI & GINGER,2299 VAN NESS AVE ,San Francisco,CA,94109,37.796646,-122.423754,+14153451368,94109
64933,MAGIC FLUTE RESTAURANT,3673 SACRAMENTO ST ,San Francisco,CA,94118,37.787372999999995,-122.45311699999999,+14159221225,94118
64938,XPRESS MARKET,498 O'FARRELL ST ,San Francisco,CA,94102,37.785861,-122.412954,+14159283063,94102
64940,THE GROVE-HAYES,301 HAYES ST ,San Francisco,CA,94102,37.777026,-122.421361,+14156243953,94102
64945,IKE'S PLACE,3489 16TH ST ,San Francisco,CA,94114,37.764353,-122.430578,+14155725292,94114
